t,kappa,nof,cycle
3671,14.814814814814815,fdnof,30
3672,16.0,fdnof,30
3673,18.181818181818183,fdnof,30
3674,20.0,fdnof,30
3677,19.047619047619047,fdnof,30
3678,18.181818181818183,fdnof,30
3679,17.391304347826086,fdnof,30
3682,16.666666666666668,fdnof,30
3684,16.666666666666668,fdnof,30
3685,15.384615384615385,fdnof,30
3687,14.814814814814815,fdnof,30
3692,14.285714285714286,fdnof,30
3694,13.793103448275861,fdnof,30
3695,13.793103448275861,fdnof,30
3698,13.793103448275861,fdnof,30
3699,13.793103448275861,fdnof,30
3700,13.793103448275861,fdnof,30
3701,13.333333333333334,fdnof,30
3702,13.333333333333334,fdnof,30
3703,12.121212121212121,fdnof,30
3706,11.428571428571429,fdnof,30
3708,10.81081081081081,fdnof,30
3709,10.256410256410257,fdnof,30
3710,9.75609756097561,fdnof,30
3711,9.30232558139535,fdnof,30
3712,9.090909090909092,fdnof,30
3714,8.695652173913043,fdnof,30
3715,8.695652173913043,fdnof,30
3716,8.16326530612245,fdnof,30
3717,7.8431372549019605,fdnof,30
3718,7.407407407407407,fdnof,30
3719,7.142857142857143,fdnof,30
3720,6.896551724137931,fdnof,30
3721,6.779661016949152,fdnof,30
3722,6.666666666666667,fdnof,30
3723,6.451612903225806,fdnof,30
3724,5.970149253731344,fdnof,30
3725,5.633802816901408,fdnof,30
3726,5.405405405405405,fdnof,30
3727,5.2631578947368425,fdnof,30
3728,5.194805194805195,fdnof,30
3729,5.063291139240507,fdnof,30
3730,5.128205128205129,fdnof,30
3731,4.819277108433735,fdnof,30
3732,4.819277108433735,fdnof,30
3733,4.761904761904762,fdnof,30
3734,4.705882352941177,fdnof,30
3735,4.651162790697675,fdnof,30
3736,4.395604395604396,fdnof,30
3738,4.25531914893617,fdnof,30
3739,4.166666666666667,fdnof,30
3740,4.081632653061225,fdnof,30
3741,3.9603960396039604,fdnof,30
3743,3.883495145631068,fdnof,30
3744,3.8095238095238093,fdnof,30
3745,3.7383177570093458,fdnof,30
3746,3.6036036036036037,fdnof,30
3747,3.5398230088495577,fdnof,30
3749,3.4782608695652173,fdnof,30
3750,3.4482758620689653,fdnof,30
3752,3.4188034188034186,fdnof,30
3753,3.3333333333333335,fdnof,30
3754,3.225806451612903,fdnof,30
3755,3.1746031746031744,fdnof,30
3756,3.1746031746031744,fdnof,30
3757,3.1496062992125986,fdnof,30
3758,3.053435114503817,fdnof,30
3759,3.0303030303030303,fdnof,30
3760,2.985074626865672,fdnof,30
3761,2.962962962962963,fdnof,30
3762,2.9411764705882355,fdnof,30
3763,2.9411764705882355,fdnof,30
3764,2.898550724637681,fdnof,30
3766,2.8776978417266186,fdnof,30
3767,2.8368794326241136,fdnof,30
3768,2.816901408450704,fdnof,30
3769,2.7777777777777777,fdnof,30
3770,2.7210884353741496,fdnof,30
3773,2.684563758389262,fdnof,30
3774,2.6666666666666665,fdnof,30
3775,2.6490066225165565,fdnof,30
3776,2.6315789473684212,fdnof,30
3777,2.6315789473684212,fdnof,30
3778,2.6143790849673203,fdnof,30
3779,2.5806451612903225,fdnof,30
3780,2.5641025641025643,fdnof,30
3782,2.5477707006369426,fdnof,30
3783,2.5477707006369426,fdnof,30
3784,2.5,fdnof,30
3785,2.484472049689441,fdnof,30
3786,2.484472049689441,fdnof,30
3787,2.4691358024691357,fdnof,30
3788,2.4539877300613497,fdnof,30
3789,2.4390243902439024,fdnof,30
3790,2.4242424242424243,fdnof,30
3791,2.4096385542168677,fdnof,30
3792,2.395209580838323,fdnof,30
3793,2.380952380952381,fdnof,30
3794,2.3529411764705883,fdnof,30
3795,2.3529411764705883,fdnof,30
3796,2.3255813953488373,fdnof,30
3798,2.3121387283236996,fdnof,30
3800,2.272727272727273,fdnof,30
3801,2.247191011235955,fdnof,30
3802,2.2222222222222223,fdnof,30
3803,2.2099447513812156,fdnof,30
3804,2.1739130434782608,fdnof,30
3805,2.1621621621621623,fdnof,30
3806,2.1390374331550803,fdnof,30
3808,2.1052631578947367,fdnof,30
3809,2.094240837696335,fdnof,30
3810,2.0833333333333335,fdnof,30
3811,2.0725388601036268,fdnof,30
3812,2.0725388601036268,fdnof,30
3814,2.051282051282051,fdnof,30
3815,2.0408163265306123,fdnof,30
3816,2.0408163265306123,fdnof,30
3818,2.030456852791878,fdnof,30
